Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
24,Marcel Sabitzer,at AUT,MF,Dortmund,31,"€ 144,423 (£ 125,194, $168,207)","€ 7,510,000 (£ 6,510,101, $8,746,774)",
25,Álex Grimaldo,es ESP,MF,Leverkusen,29,"€ 137,885 (£ 119,526, $160,592)","€ 7,170,000 (£ 6,215,369, $8,350,781)",
26,Julian Brandt,de GER,"MF,FW",Dortmund,29,"€ 134,615 (£ 116,692, $156,784)","€ 7,000,000 (£ 6,068,003, $8,152,785)",
27,Lucas Vázquez,es ESP,MF,Leverkusen,34,"€ 126,923 (£ 110,024, $147,825)","€ 6,600,000 (£ 5,721,260, $7,686,912)",Unverified estimation
28,Josip Stanišić,hr CRO,DF,Bayern Munich,25,"€ 126,923 (£ 110,024, $147,825)","€ 6,600,000 (£ 5,721,260, $7,686,912)",Unverified estimation
29,Carney Chukwuemeka,at AUT,"MF,FW",Dortmund,21,"€ 115,385 (£ 100,022, $134,387)","€ 6,000,000 (£ 5,201,146, $6,988,102)",
30,Felix Nmecha,de GER,MF,Dortmund,24,"€ 115,385 (£ 100,022, $134,387)","€ 6,000,000 (£ 5,201,146, $6,988,102)",
31,Lovro Majer,hr CRO,MF,Wolfsburg,27,"€ 108,846 (£ 94,354, $126,771)","€ 5,660,000 (£ 4,906,414, $6,592,109)",
32,Matthias Ginter,de GER,DF,Freiburg,31,"€ 108,846 (£ 94,354, $126,771)","€ 5,660,000 (£ 4,906,414, $6,592,109)",
33,Lukas Klostermann,de GER,DF,RB Leipzig,29,"€ 108,846 (£ 94,354, $126,771)","€ 5,660,000 (£ 4,906,414, $6,592,109)",Unverified estimation
34,Péter Gulácsi,hu HUN,GK,RB Leipzig,35,"€ 108,846 (£ 94,354, $126,771)","€ 5,660,000 (£ 4,906,414, $6,592,109)",
35,Willi Orban,hu HUN,DF,RB Leipzig,32,"€ 108,846 (£ 94,354, $126,771)","€ 5,660,000 (£ 4,906,414, $6,592,109)",Unverified estimation
36,Edmond Tapsoba,bf BFA,DF,Leverkusen,26,"€ 108,846 (£ 94,354, $126,771)","€ 5,660,000 (£ 4,906,414, $6,592,109)",Unverified estimation
37,Ritsu Doan,jp JPN,MF,Eintracht Frankfurt,27,"€ 108,846 (£ 94,354, $126,771)","€ 5,660,000 (£ 4,906,414, $6,592,109)",Unverified estimation
