Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
304,Oussama El Azzouzi,ma MAR,"MF,DF",Auxerre,24,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",
305,Yassine Kechta,ma MAR,MF,Le Havre,23,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
306,Abdoulaye Bamba,ci CIV,DF,Angers,35,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
307,Emmanuel Biumla,fr FRA,DF,Angers,20,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
308,Arnaud Nordin,fr FRA,"FW,MF",Rennes,27,"€ 15,769 (£ 13,657, $18,330)","€ 820,000 (£ 710,167, $953,140)",Unverified estimation
309,Yassir Zabiri,,CF,Rennes,20,"€ 15,769 (£ 13,657, $18,330)","€ 820,000 (£ 710,167, $953,140)",Unverified estimation
310,Karl-Johan Johnsson,se SWE,GK,Strasbourg,35,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
311,Saidou Sow,gn GUI,CB,Strasbourg,23,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
312,Joel Mvuka,no NOR,"MF,DF",Lorient,22,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
313,Panos Katseris,gr GRE,"MF,DF",Lorient,24,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
314,Sambou Soumano,sn SEN,FW,Lorient,24,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
315,Noah Nartey,,AM,Lyon,20,"€ 15,769 (£ 13,657, $18,330)","€ 820,000 (£ 710,167, $953,140)",Unverified estimation
316,Johann Lepenant,fr FRA,MF,Nantes,22,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
317,Uroš Radaković,rs SRB,DF,Nantes,31,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
318,Jonathan Fischer,,GK,Metz,24,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
