Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
482,Tobias Slotsager,dk DEN,DF,Hellas Verona,19,"€ 7,115 (£ 6,168, $8,287)","€ 370,000 (£ 320,737, $430,933)",Unverified estimation
483,Lapo Siviero,,GK,Torino,19,"€ 7,115 (£ 6,162, $8,271)","€ 370,000 (£ 320,441, $430,076)",Unverified estimation
484,Lorenzo De Silvestri,it ITA,DF,Bologna,37,"€ 7,115 (£ 6,168, $8,287)","€ 370,000 (£ 320,737, $430,933)",
485,Nikola Cavlina,,GK,Como,23,"€ 7,115 (£ 6,168, $8,287)","€ 370,000 (£ 320,737, $430,933)",Unverified estimation
486,Mattéo Tramoni,fr FRA,"MF,FW",Pisa,25,"€ 7,115 (£ 6,168, $8,287)","€ 370,000 (£ 320,737, $430,933)",Unverified estimation
487,Nils Zätterström,,CB,Genoa,20,"€ 7,115 (£ 6,162, $8,271)","€ 370,000 (£ 320,441, $430,076)",Unverified estimation
488,Seydou Fini,it ITA,FW,Genoa,19,"€ 7,115 (£ 6,168, $8,287)","€ 370,000 (£ 320,737, $430,933)",Unverified estimation
489,Lorenzo Torriani,it ITA,GK,Milan,20,"€ 7,115 (£ 6,168, $8,287)","€ 370,000 (£ 320,737, $430,933)",Unverified estimation
490,Giacomo Satalino,it ITA,GK,Sassuolo,26,"€ 7,115 (£ 6,168, $8,287)","€ 370,000 (£ 320,737, $430,933)",Unverified estimation
491,Gioele Zacchi,it ITA,GK,Sassuolo,22,"€ 7,115 (£ 6,168, $8,287)","€ 370,000 (£ 320,737, $430,933)",Unverified estimation
492,Álex Sala,,CM,Lecce,24,"€ 7,115 (£ 6,168, $8,287)","€ 370,000 (£ 320,737, $430,933)",Unverified estimation
493,Medon Berisha,al ALB,MF,Lecce,21,"€ 7,115 (£ 6,168, $8,287)","€ 370,000 (£ 320,737, $430,933)",Unverified estimation
494,Emirhan İlkhan,tr TUR,MF,Torino,21,"€ 6,731 (£ 5,835, $7,839)","€ 350,000 (£ 303,400, $407,639)",
495,Simone Canestrelli,it ITA,DF,Pisa,24,"€ 6,731 (£ 5,835, $7,839)","€ 350,000 (£ 303,400, $407,639)",Unverified estimation
496,Patrizio Masini,it ITA,MF,Genoa,24,"€ 6,346 (£ 5,501, $7,391)","€ 330,000 (£ 286,063, $384,346)",Unverified estimation
497,Alessio Zerbin,it ITA,MF,Cremonese,26,"€ 6,346 (£ 5,496, $7,377)","€ 330,000 (£ 285,799, $383,581)",Unverified estimation
498,Corrie Ndaba,ie IRL,DF,Lecce,25,"€ 6,346 (£ 5,501, $7,391)","€ 330,000 (£ 286,063, $384,346)",Unverified estimation
499,Oumar Ngom,,DM,Lecce,21,"€ 6,346 (£ 5,496, $7,377)","€ 330,000 (£ 285,799, $383,581)",Unverified estimation
500,Sadik Fofana,tg TOG,MF,Lecce,22,"€ 6,346 (£ 5,496, $7,377)","€ 330,000 (£ 285,799, $383,581)",Unverified estimation
501,Tiago Gabriel,pt POR,DF,Lecce,20,"€ 6,346 (£ 5,501, $7,391)","€ 330,000 (£ 286,063, $384,346)",Unverified estimation
502,Thomas Kristensen,dk DEN,DF,Udinese,23,"€ 6,154 (£ 5,335, $7,167)","€ 320,000 (£ 277,394, $372,699)",Unverified estimation
503,Agustín Albarracín,,LW,Cagliari,20,"€ 5,962 (£ 5,163, $6,930)","€ 310,000 (£ 268,478, $360,334)",Unverified estimation
504,Jacobo Ramón,,CB,Como,21,"€ 5,769 (£ 5,001, $6,719)","€ 300,000 (£ 260,057, $349,405)",Unverified estimation
505,Alessandro Nunziante,,GK,Udinese,18,"€ 5,385 (£ 4,668, $6,271)","€ 280,000 (£ 242,720, $326,111)",Unverified estimation
506,Isaac,,CF,Hellas Verona,21,"€ 5,385 (£ 4,663, $6,259)","€ 280,000 (£ 242,496, $325,463)",Unverified estimation
507,Rafa Obrador,,LB,Torino,21,"€ 5,385 (£ 4,663, $6,259)","€ 280,000 (£ 242,496, $325,463)",Unverified estimation
508,Sergiu Perciun,md MDA,MF,Torino,19,"€ 5,385 (£ 4,668, $6,271)","€ 280,000 (£ 242,720, $326,111)",Unverified estimation
509,Zanos Savva,cy CYP,FW,Torino,19,"€ 5,385 (£ 4,668, $6,271)","€ 280,000 (£ 242,720, $326,111)",Unverified estimation
510,Noel Törnqvist,,GK,Como,24,"€ 5,385 (£ 4,663, $6,259)","€ 280,000 (£ 242,496, $325,463)",Unverified estimation
511,Antonio Caracciolo,it ITA,DF,Pisa,35,"€ 5,385 (£ 4,668, $6,271)","€ 280,000 (£ 242,720, $326,111)",Unverified estimation
512,Francesco Coppola,it ITA,DF,Pisa,20,"€ 5,385 (£ 4,668, $6,271)","€ 280,000 (£ 242,720, $326,111)",Unverified estimation
513,Malthe Højholt,,DM,Pisa,24,"€ 5,385 (£ 4,668, $6,271)","€ 280,000 (£ 242,720, $326,111)",Unverified estimation
514,Nícolas Andrade,br BRA,GK,Pisa,37,"€ 5,385 (£ 4,668, $6,271)","€ 280,000 (£ 242,720, $326,111)",Unverified estimation
515,Samuele Angori,it ITA,MF,Pisa,21,"€ 5,385 (£ 4,668, $6,271)","€ 280,000 (£ 242,720, $326,111)",Unverified estimation
516,Daniele Sommariva,it ITA,GK,Genoa,28,"€ 5,385 (£ 4,668, $6,271)","€ 280,000 (£ 242,720, $326,111)",Unverified estimation
